run_name,algorithm,parameter,value,seed,total_timesteps,learning_rate,gamma,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,batch_size,target_update_interval,train_freq,gradient_steps,net_arch,mean_reward,std_reward,success_rate,crash_rate,mean_episode_length,mean_fuel_proxy,mean_final_distance_to_pad,mean_abs_angle,mean_speed,model_path,n_steps,n_epochs,clip_range,ent_coef,gae_lambda
sens_ppo_learning_rate_0p0005_seed_42,PPO,learning_rate,0.0005,42,50000,0.0005,0.999,,,,,64,,,,"[128, 128]",-13.280829945154675,132.50743487638442,0.02,0.36,518.72,472.975,0.7581381627789233,0.05792587866890288,0.23010026022724975,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_learning_rate_0p0005_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_learning_rate_0p0005_seed_123,PPO,learning_rate,0.0005,123,50000,0.0005,0.999,,,,,64,,,,"[128, 128]",229.47991455011356,71.99677587878345,0.89,0.0,332.955,207.835,0.11687249863462057,0.07271264621230258,0.2459455939665336,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_learning_rate_0p0005_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_learning_rate_0p001_seed_42,PPO,learning_rate,0.001,42,50000,0.001,0.999,,,,,64,,,,"[128, 128]",88.42179803040686,99.1929503070969,0.25,0.0,396.755,350.315,0.20052549132145941,0.13874472656382497,0.3755880648389885,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_learning_rate_0p001_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_learning_rate_0p001_seed_123,PPO,learning_rate,0.001,123,50000,0.001,0.999,,,,,64,,,,"[128, 128]",16.615001142636903,121.73182885500408,0.16,0.01,865.37,744.725,0.4443022403307259,0.04666498319009563,0.12200501720438456,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_learning_rate_0p001_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_learning_rate_0p0015_seed_42,PPO,learning_rate,0.0015,42,50000,0.0015,0.999,,,,,64,,,,"[128, 128]",5.293021890627374,117.60588224946748,0.06,0.135,419.365,303.775,0.4727194477058947,0.09227961951921629,0.2926958315796593,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_learning_rate_0p0015_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_learning_rate_0p0015_seed_123,PPO,learning_rate,0.0015,123,50000,0.0015,0.999,,,,,64,,,,"[128, 128]",153.8994837807068,120.40442968801464,0.5,0.055,488.61,305.375,0.33002999492484375,0.08753899123206611,0.2465297181478266,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_learning_rate_0p0015_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_gamma_0p99_seed_42,PPO,gamma,0.99,42,50000,0.0003,0.99,,,,,64,,,,"[128, 128]",-269.59167550101347,110.53002919021058,0.0,0.97,535.705,535.705,2.3169822776317597,0.03932127512965243,0.2570667858970073,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_gamma_0p99_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_gamma_0p99_seed_123,PPO,gamma,0.99,123,50000,0.0003,0.99,,,,,64,,,,"[128, 128]",-372.6052597819873,179.03104543997642,0.0,1.0,522.505,519.98,3.4097190248966216,0.03796980615817149,0.346110394058891,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_gamma_0p99_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_gamma_0p999_seed_42,PPO,gamma,0.999,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-139.38963125257837,50.766583459689194,0.0,0.77,541.14,508.605,1.1201711897552014,0.03540899202568705,0.24168184147649832,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_gamma_0p999_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_gamma_0p999_seed_123,PPO,gamma,0.999,123,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-38.971745591640754,99.25156682338915,0.0,0.28,954.96,952.61,0.5081287342682481,0.03607776650391613,0.1338595044265376,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_gamma_0p999_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_gamma_0p9995_seed_42,PPO,gamma,0.9995,42,50000,0.0003,0.9995,,,,,64,,,,"[128, 128]",-49.40580618404942,124.38320286535757,0.065,0.44,889.15,869.02,0.8003241943288595,0.03321206702424354,0.13584497469904977,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_gamma_0p9995_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_gamma_0p9995_seed_123,PPO,gamma,0.9995,123,50000,0.0003,0.9995,,,,,64,,,,"[128, 128]",-456.02400086500217,45.310983013428306,0.0,1.0,558.42,558.42,4.063202596902848,0.03820364802366742,0.3176380641973528,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_gamma_0p9995_seed_123.zip,1024.0,10.0,0.2,0.01,0.95
sens_ppo_clip_range_0p2_seed_42,PPO,clip_range,0.2,42,50000,0.0003,0.999,,,,,64,,,,"[128, 128]",-139.38963125257837,50.766583459689194,0.0,0.77,541.14,508.605,1.1201711897552014,0.03540899202568705,0.24168184147649832,C:\Users\marta\OneDrive\Desktop\python\lunar_lander\models\sens_ppo_clip_range_0p2_seed_42.zip,1024.0,10.0,0.2,0.01,0.95
